Name,Condition,Price,StatTrakPrice,
Operation Broken Fang Case,NA,4.26,,https://steamcommunity.com/market/search?q=Operation+Broken+Fang+Case
Clutch Case,NA,0.46,,https://steamcommunity.com/market/search?q=Clutch+Case
Horizon Case,NA,0.83,,https://steamcommunity.com/market/search?q=Horizon+Case
Sticker | Bomb Doge,NA,1.38,,https://steamcommunity.com/market/search?q=Sticker+%7C+Bomb+Doge
M4A1-S | Hyper Beast,Factory New,,,
M4A1-S | Hyper Beast,Minimal Wear,,,
M4A1-S | Hyper Beast,Field-Tested,,,
M4A1-S | Hyper Beast,Well-Worn,,,
M4A1-S | Hyper Beast,Battle-Scarred,,,
AWP | Asiimov,Field-Tested,,,
AWP | Asiimov,Well-Worn,,,
AWP | Asiimov,Battle-Scarred,,,
USP-S | Orion,Factory New,,,
USP-S | Orion,Minimal Wear,,,
USP-S | Orion,Field-Tested,,,
